stop_id,stop_code,stop_name,stop_lat,stop_lon
AE140,7129,"TREMBLAY / AD. 529",  45.419116, -75.636263
AE150,7128,"TREMBLAY / AD. 530",  45.418964, -75.636355
AE220,8595,"BELFAST / TRAINYARDS",  45.414606, -75.641902
AE235,8587,"TRAINYARDS / TERMINAL",  45.413885, -75.643439
AE241,8585,"TRAINYARDS / BELFAST",  45.414395, -75.643318
AE260,8582,"BELFAST / AD. 805",  45.413686, -75.639310
AE320,8541,"INDUSTRIAL / ST LAURENT",  45.406642, -75.627715
AE340,7158,"INDUSTRIAL / RUSSELL",  45.408838, -75.634810
AE450,8629,"NEIGHBOURHOOD / CORONATION",  45.410259, -75.652763
AE480,1392,"ROLLAND / NEIGHBOURHOOD WAY",  45.409455, -75.653453
AE495,3641,"CORONATION / NEIGHBOURHOOD",  45.410293, -75.652418
AE500,8560,"CORONATION / AD. 466",  45.410705, -75.649754
AE520,8559,"CORONATION / CHOMLEY",  45.410621, -75.645770
AE540,7145,"CORONATION / WEYBURN",  45.410046, -75.642240
AE560,8558,"CORONATION / BOTSFORD",  45.409154, -75.638687
AE580,7147,"CORONATION / RUSSELL",  45.408736, -75.636766
AE600,7148,"RUSSELL / SHELLEY",  45.407556, -75.635506
AE620,7149,"RUSSELL / THIRSK",  45.406200, -75.634450
AE625,8354,"RUSSELL / PERLEY HOSPITAL",  45.404597, -75.633103
AE640,8355,"RUSSELL / HAIG",  45.403711, -75.632448
AE660,7156,"RUSSELL / CUBA",  45.402162, -75.629010
AE680,7154,"RUSSELL / AD. 1909",  45.401737, -75.626424
AE700,3395,"TERMINAL / TRAINYARDS",  45.415017, -75.646329
AE710,3397,"TERMINAL / WALMART ENT.",  45.414778, -75.649348
AE720,1951,"TERMINAL / SANDFORD FLEMING",  45.414312, -75.655234
AE800,7074,"INDUSTRIAL GARAGE / BELFAST",  45.412215, -75.637307
AE815,1187,"TRAINYARD MALL / ROAD TO BELFAST",  45.411127, -75.638516
AF075,1868,"TRANSITWAY / TERMINAL",  45.412351, -75.658982
AF100,8552,"SANDFORD FLEMING / INDUSTRIAL",  45.412890, -75.655675
AF105,8626,"ALTA VISTA / ROLLAND",  45.411273, -75.655929
AF110,8544,"ALTA VISTA / CALEDON",  45.410311, -75.657260
AF130,7164,"ALTA VISTA / DALE",  45.408788, -75.658177
AF140,7165,"ALTA VISTA / DORION",  45.408266, -75.658210
AF160,7166,"ALTA VISTA / CLUNY",  45.405007, -75.660228
AF170,7167,"ALTA VISTA / BALFOUR",  45.405052, -75.660442
AF180,8220,"ALTA VISTA / VALOUR",  45.402785, -75.661842
AF210,7170,"ALTA VISTA / SMYTH",  45.399726, -75.661824
AF240,8234,"SMYTH / ALTA VISTA",  45.398594, -75.662045
AF270,2401,"SMYTH / RIVERSIDE",  45.399044, -75.667084
AF300,8300,"HOSPITAL LINK / ALTA VISTA",  45.403625, -75.660816
AG040,8555,"RIVERSIDE / PLEASANT PARK",  45.393045, -75.672383
AG105,8216,"PLEASANT PARK / CABOT",  45.392779, -75.671684
AG150,8240,"PLEASANT PARK / CAVENDISH",  45.392975, -75.665295
AG180,7173,"PLEASANT PARK / ALTA VISTA",  45.393020, -75.662791
AG200,7174,"ALTA VISTA / CRESTVIEW",  45.396354, -75.662180
AG220,7175,"ALTA VISTA / BILLINGS",  45.394549, -75.662679
AG240,8206,"ALTA VISTA / PLEASANT PARK",  45.393432, -75.662594
AG260,8227,"ALTA VISTA / MOUNTBATTEN",  45.391694, -75.662415
AG270,0837,"ALTA VISTA / SUMMIT",  45.391359, -75.662126
AG280,7178,"ALTA VISTA / CUNNINGHAM",  45.389285, -75.662732
AG300,5851,"ALTA VISTA / KILBORN",  45.386730, -75.662833
AG320,8226,"ALTA VISTA / ORILLIA",  45.385244, -75.662600
AG330,5709,"ALTA VISTA / CLONTARF",  45.385080, -75.662423
AG340,7180,"ALTA VISTA / RANDALL",  45.383837, -75.662199
AG360,8422,"ALTA VISTA / PALEN",  45.382052, -75.661804
AG370,8423,"ALTA VISTA / WESMAR",  45.381747, -75.661898
AG390,8359,"HERON / ST PATS H.S",  45.378781, -75.658940
AG430,8425,"ALTA VISTA / RIDGEMONT",  45.377123, -75.660843
AG480,8231,"HERON / ALTA VISTA",  45.379039, -75.661912
AG500,7187,"HERON / EVANS",  45.378899, -75.664554
AG510,8427,"HERON / EDGEHILL",  45.378725, -75.664598
AG520,8286,"HERON / BANK",  45.378769, -75.666845
AG540,8225,"KILBORN / ALTA VISTA",  45.386551, -75.662951
AG550,7189,"KILBORN / LILAC",  45.386352, -75.665303
AG570,8224,"KILBORN / BEAVER",  45.386197, -75.667489
AG580,8203,"KILBORN / BLOSSOM",  45.386212, -75.669532
AG590,7190,"KILBORN / UTAH",  45.386033, -75.669663
AG600,7192,"LAMIRA / ROONEY'S LANE",  45.385133, -75.670889
AH010,8384,"WALKLEY / BANK",  45.370585, -75.662663
AH020,8404,"WALKLEY / BANFF",  45.371198, -75.661505
AH030,7193,"WALKLEY / SIBLINGS",  45.371680, -75.659812
AH040,7195,"WALKLEY / HAMPSTEAD",  45.371976, -75.659642
